LASTNAME,FIRSTNAME,MIDDLENAME,NAMESUFFIX,RADDNUMBER,RHALFCODE,RPREDIRECTION,RSTREETNAME,RPOSTDIRECTION,RAPARTMENTTYPE,RAPARTMENT,RADDRNONSTD,RCITY,RZIP5,RZIP4,MAILADD1,MAILADD2,MAILADD3,MAILADD4,DOB,GENDER,ENROLLMENT,OTHERPARTY,COUNTYCODE,ED,LD,TOWNCITY,WARD,CD,SD,AD,LASTVOTERDATE,PREVYEARVOTED,PREVCOUNTY,PREVADDRESS,PREVNAME,COUNTYVRNUMBER,REGDATE,VRSOURCE,IDREQUIRED,IDMET,STATUS,REASONCODE,INACT_DATE,PURGE_DATE,SBOEID,voterhistory
SMITH,ADAM,,,3235,,,WILSON KEY,,APT,6,,ENDICOTT,13901,,,,,,19140306,F,BLK,,04,28,14,Colesville,13,19,52,123,20210711,,,,,5789833,19920817,MAIL,N,Y,A,MAIL-CHECK,,,NY4a1364c3-4b8d-,2021 General Election(T);2015 General Election(P);2004 Primary Election(E)
JONES,TARA,,,2947,,,OLIVIA TRACE,,,,,ENDWELL,13850,,,,,,19201101,M,BLK,,04,34,8,Kirkwood,8,19,52,121,20110225,,,,,8417850,19800417,CBOE,Y,N,A,,,,NY929a9b34-8095-,2018 General Election(P)
COX,JAMES,,,2869,,,GIBSON PORTS,,,,,ENDICOTT,13790,,,,,,19970914,M,BLK,,04,24,9,City Binghamton,2,19,52,121,20170328,,,,,6887497,20170612,MAIL,Y,N,A,,,,NY03a2e782-8a8a-,2025 Primary Election(P);2023 Primary Election(A);2021 General Election(A);2021 Primary Election(A);2019 General Election(F);2017 General Election(M);2017 Primary Election(P);2017 General Election(P)
CRUZ,CARMEN,,,3327,,,DENNIS HOLLOW,,,,,ENDICOTT,13790,,,,,,19260119,F,BLK,,04,25,6,Colesville,10,19,52,124,20090713,,,,,9882046,20060413,MAIL,N,Y,A,,,,NYa9591637-a957-,2022 Primary Election(M);2018 General Election(A);2018 Primary Election(P);2006 General Election(M)
SCOTT,STEVEN,,,479,,,ANDERSON NECK,,APT,,,ENDWELL,13904,,,,,,19851025,M,BLK,OTH,04,20,1,Windsor,12,19,52,124,20121008,,,,,7561356,20111209,AGCY,Y,N,A,,,,NY384e0170-e84a-,2025 General Election(P);2025 General Election(P);2025 Primary Election(E);2023 General Election(P);2023 General Election(P);2021 General Election(P);2019 Primary Election(M);2019 General Election(P);2017 General Election(P);2017 Primary Election(A);2017 General Election(P);2015 General Election(P);2015 General Election(P);2013 Primary Election(P);2013 General Election(P);2013 General Election(A);2011 General Election(P);2011 General Election(A)
ORTEGA,THOMAS,S,,2221,,,WEBER MOUNTAINS,,,3,,JOHNSON CITY,13901,,,,,,19440905,F,BLK,,04,33,14,Lisle,14,19,52,121,20020617,,,,,6758849,20090612,MAIL,N,Y,A,,,,NY0ec949fb-c938-,2021 Primary Election(A)
LAWSON,PAMELA,,,1364,,,WHITE PLAZA,,,,,JOHNSON CITY,13790,,,,,,19351023,M,DEM,,04,18,6,Colesville,9,19,52,121,20041011,,,,,7557617,20080406,CBOE,N,Y,A,,,,NYc8bc3d1c-0382-,2024 General Election(P);2024 Presidential Primary Election(M);2024 Primary Election(P);2022 General Election(M);2020 Presidential Primary Election(E);2020 General Election(E);2018 Primary Election(A);2018 General Election(A);2016 Primary Election(P);2016 Presidential Primary Election(A);2016 General Election(P);2014 Primary Election(P);2014 General Election(P);2012 Presidential Primary Election(P);2012 General Election(A);2012 Primary Election(P);2010 Primary Election(P);2010 General Election(P);2008 General Election(P);2008 Primary Election(A);2008 Presidential Primary Election(P)
MOORE,NICHOLAS,D,,1666,,,AMANDA BURGS,,,,,ENDICOTT,13904,,,,,,19050123,M,REP,,04,29,14,Lisle,13,19,52,123,20050521,,,,,5069539,19850803,AGCY,Y,N,A,MAIL-CHECK,,,NYe4eef801-7f7b-,2024 General Election(P);2021 General Election(P);2020 Presidential Primary Election(P);2020 General Election(A);2020 Primary Election(E);2017 General Election(P);2016 Presidential Primary Election(P);2015 General Election(P);2014 Primary Election(A);2012 Presidential Primary Election(P);2010 General Election(P);2008 Primary Election(P);2007 General Election(E);2006 General Election(A);2004 Presidential Primary Election(M);2003 General Election(P);2002 Primary Election(A);2001 General Election(P);2000 General Election(P);2000 Primary Election(A)
STEPHENS,LARRY,,,2191,,,WEBB BROOKS,,,,,VESTAL,13790,,,,,,19220302,M,DEM,,04,12,13,Lisle,1,19,52,124,20201007,,,,,9871279,19800212,AGCY,N,Y,A,,,,NY9120d71d-01c5-,2018 Primary Election(P)
LYONS,JOHN,S,,732,,,ANTONIO PLAZA,,APT,,,ENDWELL,13905,,,,,,19250424,F,OTH,,04,23,7,Windsor,11,19,52,123,20090726,,,,,8996706,20000827,CBOE,Y,Y,I,,,,NYcadfe9d8-d7d6-,2016 Primary Election(E);2008 General Election(O)
BENDER,BRYAN,,,451,,,HUGHES GREEN,,,,,BINGHAMTON,13905,,,,,,19401117,F,DEM,,04,15,2,Vestal,10,19,52,121,20240125,,,,,5139038,19900727,CBOE,N,N,A,,,,NY8d573f27-3c28-,2025 General Election(P);2024 General Election(P);2024 Presidential Primary Election(M);2023 General Election(A);2022 Primary Election(A);2022 General Election(E);2020 Presidential Primary Election(P);2020 General Election(P);2019 General Election(A);2018 General Election(E);2017 General Election(P);2016 General Election(A);2015 General Election(P);2014 General Election(E);2013 General Election(P);2012 Presidential Primary Election(T);2012 General Election(P);2012 Primary Election(P);2011 General Election(A);2010 General Election(P);2010 Primary Election(P);2009 General Election(P);2008 General Election(P);2007 General Election(P);2006 Primary Election(P);2005 General Election(M);2004 General Election(P);2004 Primary Election(O);2004 Presidential Primary Election(P);2003 General Election(A);2002 Primary Election(E);2002 General Election(E);2001 General Election(D);2000 General Election(P);2000 Presidential Primary Election(P)
ELLIS,DANIELLE,B,,596,,,MICHAEL SUMMIT,,,,,ENDWELL,13850,,,,,,19210426,F,REP,IND,04,6,1,Vestal,13,19,52,124,20170224,,,,,9403021,19840918,MAIL,N,Y,A,,20220402,,NY432adf2d-6099-,2024 General Election(P);2024 Primary Election(A);2022 Primary Election(P);2017 General Election(P);2013 General Election(E);2012 General Election(P);2009 General Election(P);2008 Presidential Primary Election(A);2008 Primary Election(P);2005 General Election(A);2002 General Election(M);2001 General Election(M);2000 General Election(P)
MARTINEZ,TROY,,,1551,,,SHEPHERD VALLEYS,,,,,ENDICOTT,13760,,,,,,19650403,M,REP,,04,8,4,Vestal,9,19,52,124,20150403,,,,,2862010,20060312,MAIL,N,Y,A,,,,NY12bda3fa-2f8b-,2014 General Election(A);2010 General Election(E);2006 General Election(P)
HOLMES,ANDREW,B,,368,,,CHRISTINA MEADOW,,,,,VESTAL,13795,,,,,,19390227,M,REP,,04,31,3,Colesville,12,19,52,124,20181220,,,,,2791699,20151110,CBOE,Y,Y,A,MAIL-CHECK,,,NY1ac499a2-4a0b-,2025 General Election(P);2017 General Election(P)
MORAN,JOSHUA,,,2904,,,JESSE STATION,,,2,,VESTAL,13795,,,,,,19680604,M,DEM,,04,23,8,Windsor,12,19,52,123,20050123,,,,,9246514,20060103,CBOE,N,N,A,,,,NY31fd0035-401f-,2024 General Election(P);2024 Primary Election(P);2022 Primary Election(P);2022 General Election(A);2020 Primary Election(A);2020 General Election(A);2018 General Election(P);2018 Primary Election(P);2016 Primary Election(P);2016 General Election(P);2014 Primary Election(E);2014 General Election(E);2012 Primary Election(P);2012 General Election(P);2010 Primary Election(P);2010 General Election(P);2008 Primary Election(P);2008 General Election(P);2006 General Election(E);2006 Primary Election(P)
HUMPHREY,AUTUMN,D,,2436,,,TAMMY STREAM,,,,,ENDICOTT,13790,,,,,,19600209,F,BLK,,04,8,13,Lisle,6,19,52,123,20180703,,,,,8667135,19920713,DMV,Y,Y,A,,,,NYecadb992-d837-,2025 General Election(P);2024 Primary Election(P);2024 General Election(A);2024 Presidential Primary Election(P);2021 General Election(M);2018 Primary Election(P);2017 General Election(P);2016 Presidential Primary Election(P);2016 Primary Election(P);2015 General Election(E);2014 Primary Election(P);2014 General Election(P);2013 General Election(P);2012 Primary Election(D);2011 General Election(P);2009 General Election(P);2007 General Election(A);2006 General Election(P);2005 General Election(P);2004 General Election(P);2001 General Election(P);2000 General Election(M);2000 Primary Election(P)
SMITH,ELIZABETH,,,2850,,,NELSON PLAZA,,,7,,ENDICOTT,13790,,,,,,19481211,M,REP,LBT,04,21,6,Conklin,7,19,52,121,20000427,,,,,5605616,20020712,CBOE,Y,N,A,MAIL-CHECK,,,NY0e41c16d-1052-,2020 General Election(A);2014 General Election(P);2002 General Election(P);2002 Primary Election(P)
BROWN,NICHOLAS,,,3083,,,TAYLOR MILL,,,,,JOHNSON CITY,13850,,,,,,19350524,M,REP,,04,8,13,Lisle,7,19,52,124,20151008,,,,,7371985,20101027,DMV,Y,N,A,,,,NYd77ead07-69f6-,2024 General Election(P);2024 Primary Election(F);2022 Primary Election(E);2022 General Election(A);2020 General Election(M);2020 Primary Election(A);2018 General Election(P);2018 Primary Election(A);2016 Primary Election(P);2016 General Election(P);2014 General Election(A);2014 Primary Election(P);2012 Primary Election(P);2012 General Election(P);2010 General Election(P)
RAYMOND,JONATHAN,,,2941,,,DAVID RIVER,,,,,BINGHAMTON,13795,,,,,,19930122,M,DEM,,04,7,1,Union,9,19,52,121,20171007,,,,,9941736,20180903,DMV,Y,N,A,,,,NY6fd1bf0c-f510-,2024 General Election(A);2024 Primary Election(P);2022 General Election(P);2018 General Election(P);2018 Primary Election(P)
LEWIS,MICHELE,,,3180,,,JAMES HILLS,,,,,ENDWELL,13850,,,,,,19210101,M,BLK,,04,1,9,Chenango,13,19,52,123,20090117,,,,,5364749,19800807,CBOE,Y,N,A,,,,NY73feeea3-7479-,2025 General Election(P);2024 General Election(P);2020 Presidential Primary Election(E);2017 General Election(P);2015 General Election(P);2014 General Election(P);2013 General Election(P);2012 Primary Election(P);2010 General Election(P);2008 Primary Election(P);2007 General Election(P);2006 General Election(P);2006 Primary Election(A);2005 General Election(P);2004 General Election(P);2004 Primary Election(P);2002 General Election(P);2001 General Election(E);2000 Presidential Primary Election(A);2000 General Election(P)
PHILLIPS,KATHERINE,,,2573,,,REID PORT,,,4,,JOHNSON CITY,13904,,,,,,19501012,F,DEM,,04,2,8,Conklin,6,19,52,124,20080922,,,,,5247980,20220410,DMV,Y,Y,A,,,,NYb2a0e1c1-befa-,2024 Primary Election(P);2024 General Election(P);2022 General Election(P);2022 Primary Election(E)
TREVINO,SUZANNE,,,3889,,,FRANK ISLANDS,,,,,VESTAL,13850,,,,,,19440428,F,BLK,,04,12,5,City Binghamton,6,19,52,123,20160427,,,,,7812985,20050207,AGCY,Y,Y,A,,,,NYfeddd883-3bfd-,2021 General Election(P)
ROGERS,JULIE,,,3842,,,YOUNG PARKS,,APT,,,JOHNSON CITY,13850,,,,,,19480106,M,REP,,04,30,12,Chenango,5,19,52,123,20110509,,,,,7017665,19811223,CBOE,Y,N,I,,20200923,,NY87e9875e-7711-,2015 General Election(P);2012 Presidential Primary Election(E)
JONES,KATELYN,,,2923,,,MILLER SPRINGS,,APT,,,ENDWELL,13790,,,,,,19681127,F,REP,,04,22,2,Union,15,19,52,123,20091006,,,,,1666812,20160208,DMV,Y,N,A,,,,NYcb0ea079-9a41-,2024 Presidential Primary Election(A);2024 General Election(A);2024 Primary Election(P);2022 Primary Election(P);2022 General Election(A);2020 Primary Election(P);2020 Presidential Primary Election(E);2018 Primary Election(E);2016 Presidential Primary Election(E)
GARRISON,HEATHER,A,,347,,,ANTHONY LOCKS,,,,,JOHNSON CITY,13795,,,,,,19430319,M,REP,GRE,04,17,2,Conklin,12,19,52,124,20131105,,,,,3145249,19900816,CBOE,N,N,A,,,,NY1d13026e-89d3-,2024 General Election(P)
SCOTT,MEGAN,J,,1197,,,JESUS PORTS,,,,,ENDICOTT,13795,,,,,,19591115,M,DEM,IND,04,11,8,Union,9,19,52,121,20020323,,,,,1984295,19970717,DMV,Y,N,A,,,,NY9fe6e814-7c48-,2006 Primary Election(P)
COOLEY,DAVID,,,3075,,,KEVIN TRACK,,,,,JOHNSON CITY,13790,,,,,,19200403,F,BLK,GRE,04,15,7,City Binghamton,10,19,52,121,20220807,,,,,3097283,19870103,DMV,N,Y,A,,,,NY961f76fd-d4ce-,2024 General Election(P)
GIBSON,CARLOS,,,1469,,,GREEN VALLEYS,,,,,BINGHAMTON,13905,,,,,,19270409,M,REP,,04,7,14,Windsor,2,19,52,123,20110106,,,,,4281133,19950202,AGCY,N,Y,A,,,,NYa694196b-9908-,2024 Presidential Primary Election(P);2019 General Election(P);2018 General Election(P);2014 Primary Election(P);2012 Primary Election(P);2010 Primary Election(P);2004 General Election(P);2003 General Election(P);2001 General Election(P)
PIERCE,LAURA,,,3515,,,MICHAEL COMMON,,,,,VESTAL,13760,,,,,,19811226,F,DEM,OTH,04,31,5,Conklin,2,19,52,121,20180817,,,,,3904549,20070720,DMV,N,Y,A,,,,NY21ba177f-9fa8-,2025 Primary Election(P);2023 General Election(M);2019 General Election(P);2017 General Election(A);2017 General Election(E);2015 General Election(P);2013 General Election(P);2009 General Election(P);2007 General Election(P)
MORGAN,GARY,,,3792,,,WEBB CROSSING,,,3,,BINGHAMTON,13795,,,,,,19720902,F,DEM,,04,25,5,Vestal,8,19,52,123,20150806,,,,,2757305,20100611,AGCY,N,N,A,,,,NYe9de9618-f8d4-,2024 Primary Election(P);2024 General Election(M);2022 Primary Election(A);2022 General Election(E);2020 General Election(P);2020 Primary Election(P);2016 Primary Election(P);2014 General Election(A);2012 Primary Election(A);2010 Primary Election(P)
REYES,ROBERT,R,,2959,,,HOWARD BURGS,,,,,JOHNSON CITY,13790,,,,,,19060325,F,BLK,,04,12,6,Union,7,19,52,124,20221019,,,,,5068010,19860212,AGCY,N,Y,A,,,,NY42697a2f-3059-,2021 General Election(A);2012 General Election(A)
WILLIAMSON,MELANIE,,,2440,,,DIANE BURG,,,,,BINGHAMTON,13760,,,,,,19960411,F,BLK,,04,27,13,Town Binghamton,13,19,52,121,20131202,,,,,8792418,20200210,DMV,N,N,A,,,,NYfed8d76e-9c4f-,2024 Primary Election(P);2024 General Election(P);2024 Presidential Primary Election(P);2022 General Election(A);2022 Primary Election(P);2020 Presidential Primary Election(A);2020 General Election(P)
NGUYEN,CAROL,J,,1308,,,JOHNSON ALLEY,,APT,,,VESTAL,13795,,,,,,19141113,F,DEM,,04,18,2,Chenango,3,19,52,124,20110627,,,,,3709291,19851026,MAIL,Y,N,A,,20151120,,NY8dde50ec-400e-,2024 Primary Election(P);2024 Presidential Primary Election(P);2013 General Election(A);2004 General Election(P);2004 Presidential Primary Election(P);2001 General Election(P);2000 Presidential Primary Election(P)
COWAN,CHRISTOPHER,,,2808,,,HILL LANE,,,,,JOHNSON CITY,13901,,,,,,19420925,F,DEM,,04,33,3,Maine,6,19,52,124,20171011,,,,,1442930,20130901,CBOE,N,Y,A,,,,NY2c5b63ec-b7de-,2025 General Election(P);2023 General Election(A);2021 General Election(P);2019 General Election(P)
LUNA,DIANE,,,997,,,HEATHER WELL,,,,,BINGHAMTON,13795,,,,,,19760226,F,REP,,04,19,2,Windsor,2,19,52,124,20141015,,,,,9008312,20210822,DMV,Y,N,A,,,,NYd920c860-805f-,2025 Primary Election(P);2023 General Election(P)
WALTERS,JAMES,R,,2402,,,HERNANDEZ PLAZA,,,8,,JOHNSON CITY,13901,,,,,,19230720,M,BLK,LBT,04,12,7,Vestal,8,19,52,121,20210502,,,,,8195860,19921218,AGCY,Y,N,A,,,,NYc40cb97e-9ca4-,2000 Presidential Primary Election(P)
SCHNEIDER,BRIAN,,,489,,,ANDERSON STRAVENUE,,,,,VESTAL,13850,,,,,,19621208,M,DEM,,04,1,13,Colesville,14,19,52,121,20151107,,,,,4779764,20180106,CBOE,Y,N,A,,20190718,,NYb84bdbe8-499b-,2024 General Election(P);2024 Primary Election(E);2022 Primary Election(P);2022 General Election(A);2020 General Election(P);2018 Primary Election(P);2018 General Election(P)
BISHOP,BRAD,,,1023,,,MCGEE ISLAND,,,,,VESTAL,13850,,,,,,19360428,F,REP,,04,1,5,Conklin,12,19,52,124,20220323,,,,,9457060,19950419,AGCY,N,Y,A,,,,NYc9b5ce15-3afd-,2024 Presidential Primary Election(P);2022 General Election(P);2021 General Election(E);2017 General Election(A);2015 General Election(P);2014 General Election(P);2012 Presidential Primary Election(P);2008 General Election(A);2006 Primary Election(P);2000 General Election(E)
WILSON,ADAM,K,,2628,,,DONNA SQUARE,,,,,VESTAL,13903,,,,,,19710108,M,DEM,,04,4,8,Vestal,11,19,52,121,20220605,,,,,6313189,19990524,DMV,Y,N,A,,,,NY8b646056-c961-,2024 General Election(P);2023 General Election(A);2011 General Election(P);2010 General Election(P);2008 Presidential Primary Election(A);2006 Primary Election(P);2004 Primary Election(P);2004 General Election(A);2002 Primary Election(P);2000 General Election(P)
CARR,KATIE,,,1008,,,DAWN MEWS,,,,,VESTAL,13904,,,,,,19520318,F,DEM,,04,34,6,Lisle,8,19,52,121,20200926,,,,,8374913,20040818,AGCY,N,N,A,,,,NYbc7e7887-e8dc-,2024 Presidential Primary Election(P);2020 General Election(A);2012 General Election(P);2010 General Election(P);2008 Presidential Primary Election(M);2008 Primary Election(P);2004 Primary Election(A)
BASS,ZACHARY,,,2923,,,WEBB TUNNEL,,,,,JOHNSON CITY,13790,,,,,,19720826,F,DEM,,04,11,13,Colesville,2,19,52,124,20211011,,,,,3134984,20190228,CBOE,Y,N,A,,,,NYc873e34e-b57d-,2025 General Election(P);2025 General Election(A);2023 Primary Election(P);2023 General Election(P);2023 General Election(F);2021 Primary Election(P);2021 General Election(P);2021 General Election(P);2019 Primary Election(P);2019 General Election(P);2019 General Election(P)
BROWN,MICHAEL,,,1712,,,HAMILTON GREENS,,,,,ENDICOTT,13790,,,,,,19630406,M,DEM,,04,1,5,City Binghamton,1,19,52,124,20091001,,,,,2636765,19930923,MAIL,Y,Y,A,,,,NYe80f665c-1f90-,2016 General Election(P);2016 Presidential Primary Election(A);2008 Primary Election(P);2004 Presidential Primary Election(A);2004 General Election(P);2003 General Election(P);2002 General Election(E)
CONNER,SHAWN,,,3559,,,CURTIS STREET,,,,,JOHNSON CITY,13790,,,,,,19580109,F,REP,,04,27,8,Colesville,4,19,52,123,20190610,,,,,4914940,20110825,MAIL,Y,Y,A,,,,NYc54c815d-6c9a-,2025 General Election(P);2017 General Election(P)
ROTH,PAUL,,,1518,,,JAMES SQUARES,,,,,VESTAL,13760,,,,,,19901204,M,DEM,,04,29,1,Colesville,5,19,52,124,20211202,,,,,5302529,20141112,DMV,Y,Y,A,MAIL-CHECK,,,NY50fb5654-8f9a-,2024 General Election(P);2022 Primary Election(P);2022 General Election(P);2020 Primary Election(P);2020 General Election(A);2018 Primary Election(P);2018 General Election(F);2014 General Election(E);2014 Primary Election(P)
CRUZ,SHELLY,S,,30,,,TIMOTHY JUNCTIONS,,,,,BINGHAMTON,13790,,,,,,19531118,M,DEM,,04,13,12,Chenango,4,19,52,123,20080825,,,,,9001793,20200519,MAIL,Y,Y,I,,,,NYa625e961-c1d8-,2024 Primary Election(P);2024 General Election(P);2024 Presidential Primary Election(P);2022 General Election(A);2022 Primary Election(A);2020 General Election(E);2020 Presidential Primary Election(P)
GONZALEZ,TABITHA,,,3369,,,AUSTIN REST,,APT,,,VESTAL,13850,,,,,,19771213,M,REP,,04,13,9,Lisle,9,19,52,124,20010108,,,,,2579910,20170704,AGCY,N,Y,I,,,,NYa4a4b878-e60a-,2025 General Election(A);2025 General Election(P);2025 Primary Election(P);2023 Primary Election(A);2023 General Election(P);2023 General Election(P);2021 Primary Election(P);2021 General Election(A);2021 General Election(P);2019 General Election(P);2019 Primary Election(P);2019 General Election(E);2017 General Election(A);2017 General Election(P);2017 Primary Election(P)
FISHER,ADAM,,,181,,,SMITH MOUNTAINS,,,,,ENDICOTT,13790,,,,,,19440212,F,BLK,,04,23,9,City Binghamton,7,19,52,123,20231111,,,,,4137950,19860324,AGCY,Y,Y,A,,,,NYa822ecf1-468c-,2012 General Election(P);2005 General Election(A);2004 General Election(P);2001 General Election(P);2000 Presidential Primary Election(A)
HAYNES,STEPHEN,,,3164,,,ALAN SQUARES,,,,,ENDWELL,13850,,,,,,19440818,F,OTH,,04,10,2,City Binghamton,1,19,52,124,20011111,,,,,4974736,19860906,AGCY,N,Y,A,,,,NY2c6d23e7-eca4-,2020 Presidential Primary Election(P);2016 General Election(E);2008 General Election(E)
BATES,CASSANDRA,,,1647,,,BROWN VISTA,,,,,ENDICOTT,13905,,,,,,19711005,F,DEM,,04,11,6,Maine,3,19,52,121,20031119,,,,,1974056,20040807,CBOE,N,N,A,,,,NYc537efff-0207-,2024 General Election(P);2024 Presidential Primary Election(O);2022 General Election(A);2020 General Election(P);2020 Primary Election(P);2016 General Election(A);2016 Primary Election(P);2014 General Election(P);2012 General Election(P);2012 Presidential Primary Election(P);2012 Primary Election(A);2010 Primary Election(P);2008 Presidential Primary Election(P);2006 Primary Election(A);2006 General Election(P);2004 Presidential Primary Election(E);2004 Primary Election(P)
VEGA,CHARLES,M,,1839,,,LACEY FIELDS,,,,,JOHNSON CITY,13905,,,,,,19380519,M,BLK,,04,16,2,City Binghamton,14,19,52,123,20240801,,,,,3155160,19860117,MAIL,N,Y,A,,,,NY9731d88a-55e4-,2024 Presidential Primary Election(P);2024 Primary Election(M);2023 General Election(A);2022 Primary Election(P);2021 General Election(P);2020 Presidential Primary Election(E);2019 General Election(P);2018 General Election(P);2016 Primary Election(M);2013 General Election(P);2007 General Election(P);2006 General Election(P);2006 Primary Election(P);2005 General Election(O);2004 Presidential Primary Election(A);2002 General Election(P)
RAMIREZ,THOMAS,,,3916,,,MARY REST,,,,,ENDWELL,13901,,,,,,19390216,M,DEM,,04,29,8,Windsor,2,19,52,121,20180224,,,,,1718240,19991123,CBOE,Y,N,A,,,,NYbec6d2b7-7bb3-,2024 Primary Election(P);2024 General Election(E);2024 Presidential Primary Election(P);2020 Primary Election(P);2018 Primary Election(A);2016 Primary Election(P);2014 Primary Election(P);2008 Presidential Primary Election(P);2007 General Election(P);2006 General Election(A);2004 General Election(P);2004 Presidential Primary Election(P);2002 Primary Election(P);2001 General Election(P);2000 Primary Election(M);2000 General Election(A)
JOHNSON,BETH,,,1756,,,SHAWN GROVES,,,,,ENDICOTT,13904,,,,,,19271028,F,BLK,,04,23,13,Union,7,19,52,124,20110809,,,,,6944252,19870217,MAIL,Y,Y,A,,,,NYfef7c25d-db88-,2024 General Election(P);2011 General Election(P)
MCCLAIN,DUSTIN,,III,3374,,,TONYA SQUARES,,,,,BINGHAMTON,13905,,,,,,19550905,F,OTH,IND,04,11,11,Colesville,1,19,52,123,20071202,,,,,5704335,19920519,CBOE,Y,N,A,,,,NYbb5a769f-69d4-,2021 General Election(P)
SHAW,GINA,,,599,,,CARLOS GLEN,,,,,BINGHAMTON,13901,,,,,,19450710,M,REP,,04,11,4,Lisle,8,19,52,123,20171023,,,,,2061651,19960523,DMV,Y,Y,A,,,,NYc303493c-6c07-,2025 General Election(A);2018 Primary Election(P);2016 Primary Election(O);2015 General Election(P);2001 General Election(P)
CHERRY,JOHN,,,582,,,JONES ESTATE,,APT,,,BINGHAMTON,13850,,,,,,19451209,M,DEM,,04,34,8,Vestal,15,19,52,124,20070803,,,,,8990889,20060126,DMV,N,Y,A,,,,NYf7858fd2-4537-,2024 General Election(P);2024 Primary Election(P);2022 Primary Election(A);2022 General Election(P);2020 Primary Election(E);2018 Primary Election(P);2018 General Election(E);2010 General Election(D);2008 General Election(P)
WATERS,APRIL,J,,3483,,,MARSHALL LOAF,,,,,BINGHAMTON,13850,,,,,,19680823,F,BLK,,04,34,3,City Binghamton,14,19,52,124,20210720,,,,,7960939,19860813,MAIL,Y,N,A,,,,NY3a7f3bed-5c3f-,2010 General Election(P);2001 General Election(A)
SINGH,MATHEW,M,,1490,,,TIFFANY HILL,,,,,ENDWELL,13905,,,,,,19290106,F,DEM,,04,12,8,Union,5,19,52,121,20030118,,,,,3746611,19981228,AGCY,Y,N,A,,,,NYa3035d72-f15f-,2024 General Election(P);2022 General Election(E);2021 General Election(P);2020 Primary Election(P);2020 General Election(A);2020 Presidential Primary Election(E);2018 General Election(P);2018 Primary Election(P);2014 Primary Election(P);2014 General Election(P);2012 Presidential Primary Election(P);2012 General Election(P);2008 Presidential Primary Election(P);2008 General Election(M);2007 General Election(P);2006 General Election(P);2004 Primary Election(E);2004 Presidential Primary Election(P);2003 General Election(P);2002 General Election(P);2001 General Election(P);2000 General Election(P)
HORTON,KIMBERLY,,,488,,,JOHNSON FORD,,,,,ENDWELL,13905,,,,,,19720828,F,REP,,04,29,5,Vestal,12,19,52,123,20040611,,,,,5635659,20031228,CBOE,Y,Y,A,,,,NY198b824f-8f70-,2025 General Election(P);2025 Primary Election(A);2025 General Election(T);2023 Primary Election(P);2023 General Election(A);2023 General Election(P);2021 General Election(O);2021 General Election(A);2019 General Election(P);2017 Primary Election(P);2015 General Election(P);2015 Primary Election(E);2013 Primary Election(P);2013 General Election(D);2011 General Election(M);2011 General Election(P);2009 General Election(P);2007 General Election(P);2007 General Election(P);2005 General Election(P);2003 Primary Election(P)
FRANCO,MICHAEL,,,3720,,,RONALD TUNNEL,,,,,BINGHAMTON,13904,,,,,,19671103,F,DEM,,04,14,6,Colesville,11,19,52,121,20201019,,,,,9970204,20190428,DMV,N,Y,A,MAIL-CHECK,,,NY05948ccf-f2bd-,2025 General Election(M);2021 General Election(P);2021 Primary Election(P);2019 General Election(M)
MARTIN,LISA,,,1464,,,JAY BROOK,,,1,,VESTAL,13850,,,,,,19380802,M,DEM,,04,24,10,Chenango,15,19,52,124,20000212,,,,,8476886,20170718,CBOE,Y,N,A,MAIL-CHECK,,,NYc76e39ab-e9c5-,2025 General Election(P);2025 Primary Election(P);2025 General Election(P);2023 General Election(P);2023 Primary Election(P);2023 General Election(P);2021 Primary Election(P);2021 General Election(A);2021 General Election(P);2019 General Election(P);2019 General Election(P);2017 General Election(M);2017 Primary Election(P);2017 General Election(M)
HENSLEY,KATHRYN,,,1734,,,HOLMES TURNPIKE,,APT,,,ENDWELL,13850,,,,,,19370224,M,DEM,,04,3,1,Conklin,13,19,52,124,20060216,,,,,3373550,20140214,CBOE,N,Y,A,,,,NYb3c40ba5-541c-,2016 General Election(P)
MILLER,EVAN,,,3918,,,JOHNSON SPRINGS,,,,,VESTAL,13903,,,,,,19201107,F,REP,,04,23,8,Windsor,13,19,52,121,20051118,,,,,7596208,19940611,CBOE,Y,N,A,,,,NY1bcc84f4-f89a-,2020 Primary Election(E);2008 Primary Election(M)
TAYLOR,MATTHEW,,,2125,,,BECKY ROAD,,APT,9,,BINGHAMTON,13795,,,,,,19611103,M,BLK,,04,18,3,Union,7,19,52,123,20150808,,,,,2511405,19860821,AGCY,N,N,A,,,,NYfe975a96-b181-,2021 General Election(P);2020 Primary Election(E);2016 General Election(M);2008 General Election(P);2007 General Election(P);2006 Primary Election(E);2000 Primary Election(P)
JEFFERSON,RACHEL,,,3467,,,ALEXANDRA CREEK,,,,,JOHNSON CITY,13901,,,,,,19040714,F,REP,,04,7,8,Maine,2,19,52,123,20240111,,,,,4768095,19810507,DMV,Y,N,A,MAIL-CHECK,,,NY022fe976-c0af-,2021 General Election(A);2020 Primary Election(P);2018 Primary Election(P);2014 General Election(P);2012 Primary Election(P);2011 General Election(E);2010 Primary Election(P);2008 General Election(P);2008 Primary Election(P);2007 General Election(P);2000 Presidential Primary Election(P)
